COMSTAGE-DAX UCITS ETF I;LU0378438732;000ETF001;C001;EXCHANGE TRADED FUNDS - PASSIV
XTR.SHORTDAX X2 DA.SW. 1C;LU0411075020;000DBX0BY;DBPD;EXCHANGE TRADED FUNDS - PASSIV
XTR.LEVDAX DA.SWAP 1C;LU0411075376;000DBX0BZ;DBPE;EXCHANGE TRADED FUNDS - PASSIV
COMST.-FR DAX UCITS ETF I;LU0488317024;000ETF002;C002;EXCHANGE TRADED FUNDS - PASSIV
COMSTAGE-DIVDAX U.ETF I;LU0603933895;000ETF003;C003;EXCHANGE TRADED FUNDS - PASSIV
COMST.-SH.DAX TR U.ETF I;LU0603940916;000ETF004;C004;EXCHANGE TRADED FUNDS - PASSIV
XTR.DAX INCOME 1D;LU0838782315;000DBX0NH;XDDX;EXCHANGE TRADED FUNDS - PASSIV
COMST.-LEVDAX X2 UC.ETF I;LU1104579369;000ETF043;E043;EXCHANGE TRADED FUNDS - PASSIV
VGDAX EOD;IE00BG143G97;000A2JF6S;VDXX;EXCHANGE TRADED FUNDS - PASSIV
FINLAB AG   NA O.N.;DE0001218063;121806;A7A;DEUTSCHLAND
B+S BANKSYSTEME AG O.N.;DE0001262152;126215;DTD2;DEUTSCHLAND
BAVARIA INDS GRP   O.N.;DE0002605557;260555;B8A;DEUTSCHLAND
ISHARES PFANDBRIEFE U.ETF;DE0002635265;263526;EXHE;EXCHANGE TRADED FUNDS - RENTEN
ISH.S.EU.SEL.DIV.30 U.ETF;DE0002635299;263529;EXSH;EXCHANGE TRADED FUNDS - PASSIV
ISH.STOX.EUROPE 600 U.ETF;DE0002635307;263530;EXSA;EXCHANGE TRADED FUNDS - PASSIV
GERRY WEBER INTERNAT.O.N.;DE0003304101;330410;GWI1;DEUTSCHLAND
ADLER REAL ESTATE AG;DE0005008007;500800;ADL;SDAX
AAP IMPLANTATE AG;DE0005066609;506660;AAQ;DEUTSCHLAND
BAADER BANK AG;DE0005088108;508810;BWB;DEUTSCHLAND
UTD.INTERNET AG NA;DE0005089031;508903;UTDI;MDAX
AMADEUS FIRE AG;DE0005093108;509310;AAD;SDAX
BASLER AG O.N.;DE0005102008;510200;BSL;DEUTSCHLAND
ADVA OPT.NETW.SE  O.N.;DE0005103006;510300;ADV;SDAX
ATOSS SOFTWARE AG;DE0005104400;510440;AOF;DEUTSCHLAND
SYZYGY AG O.N.;DE0005104806;510480;SYZ;DEUTSCHLAND
ALL FOR ONE GROUP NA O.N.;DE0005110001;511000;A1OS;DEUTSCHLAND
ZOOPLUS AG;DE0005111702;511170;ZO1;SDAX
11 88 0 SOLUTIONS AG;DE0005118806;511880;TGT;DEUTSCHLAND
QSC AG NA O.N.;DE0005137004;513700;QSC;DEUTSCHLAND
DEUTSCHE BANK AG NA O.N.;DE0005140008;514000;DBK;DAX
DELTICOM AG  NA O.N.;DE0005146807;514680;DEX;DEUTSCHLAND
GIGASET AG O.N.;DE0005156004;515600;GGS;DEUTSCHLAND
SCHWEIZER ELECTR. NA O.N.;DE0005156236;515623;SCE;DEUTSCHLAND
DR. HOENLE AG O.N.;DE0005157101;515710;HNL;SDAX
BECHTLE AG O.N.;DE0005158703;515870;BC8;MDAX
3U HOLDING AG;DE0005167902;516790;UUU;DEUTSCHLAND
BAUER AG;DE0005168108;516810;B5A;DEUTSCHLAND
SURTECO GROUP SE INH O.N.;DE0005176903;517690;SUR;DEUTSCHLAND
SOFTING AG O.N.;DE0005178008;517800;SYT;DEUTSCHLAND
BAY.MOTOREN WERKE AG ST;DE0005190003;519000;BMW;DAX
BAY.MOTOREN WERKE  VZO;DE0005190037;519003;BMW3;DAX
BAYWA AG   NA O.N.;DE0005194005;519400;BYW;SDAX
BAYWA AG VINK.NA. O.N.;DE0005194062;519406;BYW6;SDAX
LUDW.BECK A.RATHAUSECK;DE0005199905;519990;ECK;DEUTSCHLAND
BEIERSDORF AG O.N.;DE0005200000;520000;BEI;DAX
BERENTZEN-GRP.AG;DE0005201602;520160;BEZ;DEUTSCHLAND
QUIRIN PRIVATBK  O.N.;DE0005202303;520230;QB7;DEUTSCHLAND
B.R.A.I.N. NA;DE0005203947;520394;BNN;DEUTSCHLAND
ARTEC TECHNOLOGIES O.N.;DE0005209589;520958;A6T;DEUTSCHLAND
MOBOTIX AG O.N.;DE0005218309;521830;MBQ;DEUTSCHLAND
ENBW ENERGIE BAD.-WUE. ON;DE0005220008;522000;EBK;DEUTSCHLAND
NEXUS AG O.N.;DE0005220909;522090;NXU;DEUTSCHLAND
BIOTEST AG ST O.N.;DE0005227201;522720;BIO;DEUTSCHLAND
BIOTEST AG VZ O.N.;DE0005227235;522723;BIO3;DEUTSCHLAND
ORBIS AG O.N.;DE0005228779;522877;OBS;DEUTSCHLAND
BIJOU BRIGITTE O.N.;DE0005229504;522950;BIJ;DEUTSCHLAND
BERTRANDT AG O.N.;DE0005232805;523280;BDT;SDAX
HOMAG GROUP AG;DE0005297204;529720;HG1;DEUTSCHLAND
ENERGIEKONTOR O.N.;DE0005313506;531350;EKT;DEUTSCHLAND
CARL ZEISS MEDITEC AG;DE0005313704;531370;AFX;MDAX
NANOFOCUS O.N.;DE0005400667;540066;N2F;DEUTSCHLAND
CEWE STIFT.KGAA  O.N.;DE0005403901;540390;CWC;SDAX
CENIT AG O.N.;DE0005407100;540710;CSH;DEUTSCHLAND
CEOTRONICS AG O.N.;DE0005407407;540740;CEK;DEUTSCHLAND
CENTROTEC SUSTAINABLE O.N;DE0005407506;540750;CEV;DEUTSCHLAND
AAREAL BANK AG;DE0005408116;540811;ARL;MDAX
OEKOWORLD AG VZNA O.N.;DE0005408686;540868;VVV3;DEUTSCHLAND
LEONI AG NA O.N.;DE0005408884;540888;LEO;SDAX
CANCOM SE O.N.;DE0005419105;541910;COK;MDAX
COMDIRECT BANK AG;DE0005428007;542800;COM;DEUTSCHLAND
